student_id,avg_score,total_weight,activity_days,total_clicks
S1401,58.4,64.9,97,583
S1402,68.1,72.5,115,1020
S1403,68.8,95.0,102,787
S1404,60.8,75.4,109,648
S1405,78.0,72.8,60,809
S1406,50.9,47.5,42,224
S1407,65.7,85.4,124,353
S1408,69.9,83.6,72,333
S1409,76.2,100.0,74,721
S1410,79.4,66.5,119,1182
S1411,50.0,75.9,97,1327
S1412,43.5,76.5,94,865
S1413,88.4,100.0,142,825
S1414,73.3,70.3,63,157
S1415,56.0,77.0,107,522
S1416,92.8,82.9,83,451
S1417,69.9,75.4,89,499
S1418,86.9,64.0,124,631
S1419,69.1,75.5,96,543
S1420,98.0,91.3,97,106
S1421,96.1,53.5,112,896
S1422,64.0,74.4,71,368
S1423,83.5,59.4,58,749
S1424,78.3,93.5,52,1281
S1425,89.9,44.6,26,413
S1426,52.6,61.9,139,60
S1427,79.0,78.8,51,597
S1428,84.9,100.0,75,999
S1429,39.9,70.8,74,1247
S1430,49.1,62.0,90,323
S1431,35.4,100.0,104,824
S1432,63.7,45.9,106,545
S1433,79.5,32.4,65,649
S1434,92.0,79.9,77,1446
S1435,69.2,63.0,89,244
S1436,94.1,53.6,75,753
S1437,45.9,84.8,127,815
S1438,40.7,76.4,95,994
S1439,67.1,61.8,102,708
S1440,74.1,49.0,100,769
S1441,67.5,87.7,114,566
S1442,34.9,83.7,87,758
S1443,66.6,70.2,45,580
S1444,47.1,100.0,93,860
S1445,78.7,52.7,63,572
S1446,73.9,44.5,67,789
S1447,53.0,59.5,98,671
S1448,59.8,71.2,116,1006
S1449,51.1,76.4,82,665
S1450,67.0,67.7,90,165
S1451,83.3,78.3,129,1045
S1452,52.2,49.5,88,417
S1453,76.1,98.0,150,490
S1454,59.5,70.5,97,507
S1455,55.3,92.1,32,1078
S1456,66.3,78.2,103,60
S1457,51.4,80.2,92,1589
S1458,59.1,82.3,118,986
S1459,48.8,80.1,100,744
S1460,98.0,83.6,78,664
S1461,68.6,95.9,47,762
S1462,56.8,75.5,76,831
S1463,71.4,84.8,58,867
S1464,66.2,70.4,65,841
S1465,64.5,97.9,98,705
S1466,77.8,59.8,128,622
S1467,80.1,100.0,93,636
S1468,59.5,71.3,48,623
S1469,58.8,46.2,94,1008
S1470,63.6,74.3,115,852
S1471,31.2,59.7,64,60
S1472,43.8,87.1,78,870
S1473,89.9,60.3,82,736
S1474,94.3,64.0,60,674
S1475,64.0,38.0,100,567
S1476,77.2,63.9,78,1005
S1477,73.0,28.4,93,954
S1478,98.0,43.5,57,455
S1479,85.9,85.7,69,798
S1480,66.0,86.1,102,398
S1481,52.7,79.7,71,279
S1482,42.3,54.6,130,498
S1483,71.3,71.1,70,930
S1484,55.9,71.9,88,956
S1485,45.2,51.1,108,828
S1486,57.7,99.1,42,890
S1487,50.7,87.8,32,829
S1488,95.0,68.0,39,493
S1489,82.1,72.5,117,805
S1490,67.9,75.8,66,912
S1491,91.7,35.2,150,898
S1492,69.2,67.6,66,1024
S1493,54.2,59.7,87,885
S1494,92.4,54.0,125,781
S1495,76.6,66.9,138,990
S1496,51.4,100.0,139,672
S1497,65.0,83.5,115,424
S1498,54.0,61.7,110,632
S1499,45.9,82.3,98,463
